"name","noc","discipline","event"
"ABE Junya","Japan","Volleyball",""
"ABE Katsuhiko","Japan","Basketball",""
"AGEBA Yuya","Japan","Volleyball",""
"AIKMAN Siegfried Gottlieb","Japan","Hockey","Men"
"AL SAADI Kais","Germany","Hockey","Men"
"ALAMEDA Lonni","Canada","Baseball/Softball","Softball"
"ALEKSEEV Alexey","ROC","Handball","Women"
"ALLER CARBALLO Manuel Angel","Spain","Basketball",""
"AMO AGUADO Pablo","Spain","Football",""
"ANDONOVSKI Vlatko","United States of America","Football","Women"
"ANNAN Alyson","Netherlands","Hockey","Women"
"ARNAU CREUS Xavier","Japan","Hockey","Women"
"ARNOLD Graham","Australia","Football","Men"
"BANBULA Wojciech","Poland","Volleyball",""
"BAO Zhuang","People's Republic of China","Volleyball",""
"BARYLA Pawel","ROC","Volleyball",""
"BASILIO Mel","Canada","Baseball/Softball","Softball"
"BASSO Paola","Great Britain","Artistic Swimming","Duet"
"BATCH Colin","Australia","Hockey","Men"
"BERG Laura","United States of America","Baseball/Softball","Softball"
"BIRO Attila","Hungary","Water Polo","Women"
"BLENGINI Gianlorenzo","Italy","Volleyball","Men"
"BRODERICK William","Brazil","Rugby Sevens","Women"
"BRONDELLO Sandy","Australia","Basketball","Women"
"BROWN Chris","United States of America","Rugby Sevens","Women"
"BUNTING Allan","New Zealand","Rugby Sevens","Women"
"BURLANDO Giovanna","Italy","Artistic Swimming",""
"BUSATO Sergio","ROC","Volleyball","Women"
"BUSENKELL Axel","Germany","Football",""
"BYRNE Mick","Canada","Rugby Sevens","Women"
"CALDAS Max","Netherlands","Hockey","Men"
"CAMPAGNA Alessandro","Italy","Water Polo","Men"
"CASAREZ Mary Lucy","Japan","Baseball/Softball","Softball"
"CHAMBERS Cheryl","Australia","Basketball",""
"CHOI Il Eon","Republic of Korea","Baseball/Softball","Baseball"
"CHUN Jooweon","Republic of Korea","Basketball","Women"
"COLLET Vincent","France","Basketball","Men"
"COURTEIX David","France","Rugby Sevens","Women"
"DAL ZOTTO Renan","Brazil","Volleyball","Men"
"DANCHENKO Tatiana","ROC","Artistic Swimming","Duet"
"DAVY Jeremy","Australia","Hockey","Women"
"de la FUENTE CASTILLO Luis","Spain","Football","Men"
"de OLIVEIRA Marcus Ricardo","Brazil","Handball","Men"
"de VOS Robbert-Jan","Netherlands","Hockey",""
"DELANEY Mike","New Zealand","Hockey",""
"DIAZ FERNANDEZ Jenaro Manuel","Spain","Basketball",""
"DIDENKO Natalia","Spain","Artistic Swimming",""
"DOBSON Howard","United States of America","Baseball/Softball","Softball"
"DORE Karine","Canada","Artistic Swimming",""
"DUENAS de GALARZA Jorge","Brazil","Handball","Women"
"DYKSTRA Trisha","Australia","Basketball",""
"EITOKU Atsushi","Japan","Artistic Swimming",""
"ELEK Gabor","Hungary","Handball","Women"
"ENGELLAND Chip","United States of America","Basketball",""
"ENQUIST Susan","United States of America","Volleyball",""
"ERIKSEN Ken","United States of America","Baseball/Softball","Softball"
"FABRE Julie","France","Artistic Swimming","Duet"
"FARINELLI Roberta","Italy","Artistic Swimming","Duet"
"FARINELLI Roberta","Italy","Artistic Swimming","Team"
"FATOVIC Elvis","Australia","Water Polo","Men"
"FEDIUSHYNA Tetiana","Ukraine","Artistic Swimming",""
"FLOWERS Tairia","United States of America","Baseball/Softball","Softball"
"FOIREST Laurent","France","Basketball",""
"FORREST Scott","Great Britain","Rugby Sevens","Women"
"FRIDAY Mike","United States of America","Rugby Sevens","Men"
"FUENTES Andrea","United States of America","Artistic Swimming","Duet"
"FUERBRINGER Matthew","United States of America","Volleyball",""
"FUJIKI Mayuko","Spain","Artistic Swimming","Duet"
"FUJIKI Mayuko","Spain","Artistic Swimming","Team"
"GADEMAN Pasha","Canada","Hockey","Men"
"GAIDUKOV Aleksandr","ROC","Water Polo","Women"
"GARNIER Valerie","France","Basketball","Women"
"GIALLOMBARDO Patrizia","Italy","Artistic Swimming","Duet"
