"noc","gold","total","rank","rank_by_total"
"United States of America","39","113","1","1"
"People's Republic of China","38","88","2","2"
"Japan","27","58","3","5"
"Great Britain","22","65","4","4"
"ROC","20","71","5","3"
"Australia","17","46","6","6"
"Netherlands","10","36","7","9"
"France","10","33","8","10"
"Germany","10","37","9","8"
"Italy","10","40","10","7"
"Canada","7","24","11","11"
"Brazil","7","21","12","12"
"New Zealand","7","20","13","13"
"Cuba","7","15","14","18"
"Hungary","6","20","15","13"
"Republic of Korea","6","20","16","13"
"Poland","4","14","17","19"
"Spain","3","17","22","17"
"Switzerland","3","13","24","20"
"Turkey","2","13","35","20"
"Ukraine","1","19","44","16"
