athlete_id,last_name,first_name,country_id,discipline_id
0,Abad,Nestor,16,1
1,Abagnale,Giovanni,8,23
2,Abbot,Emily,0,22
3,Abdelwahed,Ahmed,8,3
4,Abdirahman,Abdi,20,3
5,Abduljabbar,Ammar,5,5
6,Abe,Hifumi,9,18
7,Abe,Takatoshi,9,3
8,Abe,Uta,9,18
9,Abel,Jennifer,2,13
10,Abian,Pablo,16,4
11,Abliazin,Denis,14,1
12,Abraham,Tadesse,17,3
13,Abrosimov,Kirill,14,20
14,Abuaku,Joshua,5,3
15,Acerenza,Domenico,8,30
16,Aceti,Vladimir,8,3
17,Adachi,Kazuya,9,6
18,Adachi,Seiya,9,36
19,Adamek,Klaudia,13,3
20,Adamkiewicz,Patrycja,13,32
21,Adams,Liam,0,3
22,Adams,Paul,0,26
23,Adamus,Bartlomiej,13,37
24,Adao,De,1,3
25,Adar,Yasemin,18,38
26,Adlington,Sarah,6,18
27,Ado,Pauline,4,29
28,Adolf,Balazs,7,7
29,Aernoudts,Violaine,4,23
30,Afremova,Natalia,14,9
31,Agard,Terrence,10,3
32,Agbegnenou,Clarisse,4,18
33,Agiurgiuculese,Alexandra,8,22
34,Agrali,Yavuz,18,3
35,Agrusti,Andrea,8,3
36,Aguiar,Mayra,1,18
37,Aguirre,Unai,16,36
38,Ahmed,Mohammed,2,3
39,Ahsinger,Nicole,20,34
40,Ai,Yanhan,12,30
41,Aicardi,Matteo,8,36
42,Aigner,Hannes,5,6
43,Ait,Said,4,1
44,Aitchison,Holly,6,24
45,Aizawa,Akira,9,3
46,Akgul,Taha,18,38
47,Akgun,Omer,18,26
48,Akhaimova,Liliia,14,1
49,Akimenko,Mikhail,14,3
50,Akkus,Mihrac,18,18
51,Aktas,Ugur,18,19
52,Alarie,Elissa,2,24
53,Alarza,Fernando,16,35
54,Alba,Castillo,3,32
55,Albayrak,Vedat,18,18
56,Albers,Felice,10,17
57,Albrecht,Samuel,1,25
58,Aldersey,Olympia,0,23
59,Alegre,Biosca,16,17
60,Aleksandrova,Ekaterina,14,33
61,Aleksiiva,Maryna,19,2
62,Aleksiiva,Vladyslava,19,2
63,Alemanno,Maria,8,37
64,Alessio,Simone,8,32
65,Aliev,Mourad,4,5
66,Alipov,Alexey,14,26
67,Allen,Devon,20,3
68,Allman,Valarie,20,3
69,Almanza,Rose,3,3
70,Almas,Deniz,5,3
71,Alonso,Alejandro,16,17
72,Altenburg,Lisa,5,17
73,Altheman,Maria,1,18
74,Altukhov,Pavlo,19,7
75,Alvarez,Anita,20,2
76,Alvarez,Aznar,16,14
77,Alvarez,Jorge,3,26
