coach_id,last_name,first_name,country_id,discipline_id,event_id
0,Abe,Junya,9,42,
1,Abe,Katsuhiko,9,7,
2,Ageba,Yuya,9,42,
3,Aikman,Siegfried,9,23,4
4,Al,Saadi,5,23,4
5,Alameda,Lonni,2,6,21
6,Alekseev,Alexey,14,22,23
7,Aller,Carballo,16,7,
8,Amo,Aguado,16,20,
9,Andonovski,Vlatko,20,20,23
10,Annan,Alyson,10,23,23
11,Arnau,Creus,9,23,23
12,Arnold,Graham,0,20,4
13,Banbula,Wojciech,13,42,
14,Bao,Zhuang,12,42,
15,Baryla,Pawel,14,42,
16,Basilio,Mel,2,6,21
17,Basso,Paola,6,3,2
18,Batch,Colin,0,23,4
19,Berg,Laura,20,6,21
20,Biro,Attila,7,43,23
21,Blengini,Gianlorenzo,8,42,4
22,Broderick,William,1,30,23
23,Brondello,Sandy,0,7,23
24,Brown,Chris,20,30,23
25,Bunting,Allan,11,30,23
26,Burlando,Giovanna,8,3,
27,Busato,Sergio,14,42,23
28,Busenkell,Axel,5,20,
29,Byrne,Mick,2,30,23
30,Caldas,Max,10,23,4
31,Campagna,Alessandro,8,43,4
32,Casarez,Mary,9,6,21
33,Chambers,Cheryl,0,7,
34,Choi,Il,15,6,1
35,Chun,Jooweon,15,7,23
36,Collet,Vincent,4,7,4
37,Courteix,David,4,30,23
38,Dal,Zotto,1,42,4
39,Danchenko,Tatiana,14,3,2
40,Davy,Jeremy,0,23,23
41,De,La,16,20,4
42,De,Oliveira,1,22,4
43,De,Vos,10,23,
44,Delaney,Mike,11,23,
45,Diaz,Fernandez,16,7,
46,Didenko,Natalia,16,3,
47,Dobson,Howard,20,6,21
48,Dore,Karine,2,3,
49,Duenas,De,1,22,23
50,Dykstra,Trisha,0,7,
51,Eitoku,Atsushi,9,3,
52,Elek,Gabor,7,22,23
53,Engelland,Chip,20,7,
54,Enquist,Susan,20,42,
55,Eriksen,Ken,20,6,21
56,Fabre,Julie,4,3,2
57,Farinelli,Roberta,8,3,2
58,Farinelli,Roberta,8,3,22
59,Fatovic,Elvis,0,43,4
60,Fediushyna,Tetiana,19,3,
61,Flowers,Tairia,20,6,21
62,Foirest,Laurent,4,7,
63,Forrest,Scott,6,30,23
64,Friday,Mike,20,30,4
65,Fuentes,Andrea,20,3,2
66,Fuerbringer,Matthew,20,42,
67,Fujiki,Mayuko,16,3,2
68,Fujiki,Mayuko,16,3,22
69,Gademan,Pasha,2,23,4
70,Gaidukov,Aleksandr,14,43,23
71,Garnier,Valerie,4,7,23
72,Giallombardo,Patrizia,8,3,2
73,Giallombardo,Patrizia,8,3,22
74,Gille,Guillaume,4,22,4
75,Gislason,Alfred,5,22,4
76,Gonzalez,Jareno,16,7,
77,Goorjian,Brian,0,7,4
78,Gordo,Mansilla,16,20,
79,Graziosi,Gianluca,8,42,
80,Greskowiak,Arne,5,7,
81,Gryzunova,Elena,14,3,22
82,Guerrero,Lopez,16,20,
83,Guidetti,Giovanni,18,42,23
84,Guimaraes,Jose,1,42,23
85,Gustavsson,Tony,0,20,23
86,Hager,Mark,6,23,23
87,Halkett,Rhett,10,23,
88,Hardy,William,20,7,
89,Harrow,Laing,0,6,21
90,Harvey,Laura,20,20,
91,Havenga,Arno,10,43,23
92,Hay,Danny,11,20,4
93,Henkel,Claas,5,23,4
94,Henning,Andre,2,23,4
95,Hernandez,Fraile,16,7,
96,Heynen,Vital,13,42,4
97,Hirose,Norikazu,9,20,
98,Hoag,Glenn,2,42,4
99,Holanek,Zoltan,7,22,
100,Hovasse,Thomas,9,7,23
101,Hughes,Daniel,20,7,
102,Imura,Masayo,9,3,
103,Iwabuchi,Kensuke,9,30,4
104,Jardine,Andre,1,20,4
105,Jauma,Cayuela,10,3,2
106,Jennings,Dee,0,23,
107,Jia,Xiuquan,12,20,23
108,Jimenez,Nieto,16,3,
109,Johnson,Vickie,20,7,
110,Jones,Chris,2,6,21
111,Jones,Nathan,0,6,21
112,Kaneko,Makoto,9,6,1
113,Kang,Jae,15,22,23
114,Kawase,Asaki,9,20,
115,Kazama,Takafumi,9,20,
116,Keller,Florian,5,23,23
117,Kerry,Danny,6,23,4
118,Kim,Chanbin,15,20,
119,Kim,Hagbum,15,20,4
120,Kiraly,Karch,20,42,23
121,Kirkely,Ulrik,9,22,23
122,Kirkpatrick,Andrew,0,6,21
123,Kitabayashi,Kenji,9,22,
124,Klarenbeek,Auke,10,22,
125,Konstantinov,Aleksei,14,42,
126,Krikorian,Adam,20,43,23
127,Krumbholz,Olivier,4,22,23
128,Kulesza,Katarzyna,2,3,22
129,Kuntz,Stefan,5,20,4
130,Kuzin,Andrey,14,30,23
131,Laidlaw,Clark,11,30,4
132,Lamas,Julio,9,7,4
133,Lang,Ping,12,42,23
134,Lavarini,Stefano,15,42,23
135,Lazaro,Corral,16,7,
136,Lock,Adrian,16,23,23
137,Mackintosh,Euan,12,30,23
138,Maeda,Kenzo,9,7,
139,Makiri,Hare,9,30,23
140,Manenti,John,0,30,23
141,Marcz,Tamas,7,43,4
142,Martin,Lozano,16,43,4
143,Matsuno,Yoshiyuki,9,7,
144,Matsuodani,Yasushi,9,20,
145,Maybury,Elena,20,20,
146,Mayonnade,Emmanuel,10,22,23
147,Mazzanti,Davide,8,42,23
148,Mengual,Civil,16,3,
149,Mezhenina,Valeriia,19,3,22
150,Meziane,Rachid,4,7,
151,Mihailovic,Predrag,0,43,23
152,Miret,Garcia,16,7,
153,Miura,Keiko,9,23,23
154,Miyakawa,Miya,9,3,
155,Mondelo,Garcia,16,7,23
156,Montico,Loredana,0,3,2
157,Montico,Loredana,0,3,22
158,Moriyasu,Hajime,9,20,4
159,Motomiya,Makihiro,9,43,23
160,Mulati,Adilijiang,12,7,
161,Nagae,Shoji,9,42,
162,Nakada,Kumi,9,42,23
163,Nakagaichi,Yuichi,9,42,4
164,Nishida,Takumi,9,30,
165,Oca,Gaia,16,43,23
166,Omoto,Yoji,9,43,4
167,Palermi,Giovanna,8,6,21
168,Paradelo,David,2,43,23
169,Paul,Henry,2,30,4
170,Pibiri,Rossella,8,3,
171,Piskareva,Ekaterina,14,3,
172,Pizzolini,Federico,8,6,21
173,Popovich,Gregg,20,7,4
174,Porobic,Petar,12,43,23
175,Potter,Anthony,0,23,4
176,Powell,Katrina,0,23,23
177,Prado,Branas,16,7,
178,Priestman,Bev,2,20,23
179,Reckinger,Xavier,5,23,23
180,Requena,Pericas,16,3,2
181,Requena,Pericas,16,3,22
182,Ribera,Romans,16,22,4
183,Riise,Hege,6,20,23
184,Rillie,John,0,7,
185,Ripoll,Sylvain,4,20,4
186,Roedl,Henrik,5,7,4
187,Roques,Anthony,6,30,4
188,Sacchetti,Romeo,8,7,4
189,Sammelvuo,Tuomas,14,42,4
190,Scariolo,Sergio,16,7,4
191,Seo,Chun,15,30,4
192,Sermanni,Tom,11,20,23
193,Shaw,Graham,11,23,23
194,Sigurdsson,Dagur,9,22,4
195,Smith,Darren,11,23,4
196,Smith,Mark,2,6,21
197,Soyez,Frederic,16,23,4
198,Speraw,John,20,42,4
199,Speroni,Stefania,6,3,2
200,Staley,Dawn,20,7,23
201,Staniforth,Dave,0,23,
202,Sundhage,Pia,1,20,23
203,Szauder,Gabor,2,3,2
204,Szauder,Gabor,2,3,22
205,Takakura,Asako,9,20,23
206,Takita,Risako,9,3,
207,Tarr,Heather,20,6,21
208,Thomaidis,Lisa,2,7,23
209,Tillie,Laurent,4,42,4
210,Tomomatsu,Yumiko,8,3,
211,Turner,Glenn,11,23,4
212,Udoka,Ime,20,7,
213,Udovicic,Dejan,20,43,4
214,Utkin,Volodymyr,19,3,
215,Utsugi,Reika,9,6,21
216,Van,Gundy,20,7,
217,Vega,Herrero,16,3,
218,Viver,Arza,16,22,23
219,Voronova,Elena,14,3,2
220,Wall,Michael,20,42,
221,Walsh,Tim,0,30,4
222,Wang,Jie,12,3,2
223,Wang,Jie,12,3,22
224,Wang,Yang,12,23,23
225,Weinstein,Jerry,20,6,1
226,Wiegman,Sarina,10,20,23
227,Woicki,Pawel,13,42,
228,Wright,Jerold,20,7,
229,Xu,Limin,12,7,23
230,Yamaji,Noriko,9,6,21
231,Yuan,Lingxi,12,42,
232,Yurkin,Sergey,14,42,
233,Zaitseva,Olesia,19,3,2
234,Zamora,Pedreira,16,7,
235,Zhang,Xiaohuan,12,3,
236,Zijp,Simon,10,23,
